year,song,artist,spotifyid,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo 
1961,Mother-in-Law - 2002 - Remaster,Ernie K-Doe,6rN6xdKMu0dWnsKNePZItp,0.747,0.631,0.0409,0.713,0.00024,0.303,0.753,127.416
1961,Bristol Stomp,The Dovells,72SaLo5XZeIxvVD7Xv61Qq,0.655,0.77,0.0649,0.626,0,0.541,0.9,105.394
1961,Travelin' Man,Ricky Nelson,4N1ITUdXZvI9hRjWrgYjVv,0.731,0.441,0.0317,0.724,0,0.16,0.897,122.838
1961,Shop Around,The Miracles,3Xo0ahWyk8tb2KI1C0gjHQ,0.55,0.585,0.0299,0.718,0,0.727,0.897,131.861
1961,The Boll Weevil Song,Brook Benton,72KXKD7XAPrmMxjKVSGJF5,0.786,0.262,0.132,0.487,0.0545,0.104,0.902,139.882
1961,A Hundred Pounds Of Clay - 1995 Digital Remaster,Gene McDaniels,2WRPCPMu1Qadq0J7Af8aCC,0.725,0.374,0.0386,0.577,0,0.107,0.82,128.569
1961,The Mountain's High,Dick & Dee Dee,0YVlMTY2kaQc2fxu2ezlI6,0.686,0.771,0.0594,0.683,0.137,0.333,0.94,118.176
1961,Don't Worry,Marty Robbins,0dPfKBYyPmoSfoLJqeKAs4,0.648,0.165,0.0348,0.879,0.000216,0.13,0.435,99.585
1961,On the Rebound,Floyd Cramer,2vdjYcYAmectRUOiR9Blk3,0.535,0.683,0.0334,0.371,0.0133,0.205,0.912,150.742
1961,Portrait Of My Love,Steve Lawrence,0xPY64j4Wjo7hvDN8tzSTF,0.338,0.31,0.0268,0.854,0.000136,0.34,0.268,91.7
1961,Quarter To Three,Gary U.S. Bonds,73QrH5GoOXsiCNOMmWvh4k,0.479,0.837,0.205,0.924,0.0734,0.891,0.884,165.371
1961,Who Put the Bomp - In the Bomp Bomp Bomp,Barry Mann,05p9nO6NmAU9cGUc4nx1Pw,0.54,0.501,0.0326,0.293,5.28e-06,0.0749,0.946,86.192
1961,Calendar Girl,Neil Sedaka,07IBuRx9So9Vo6Q0zfEnsE,0.657,0.513,0.0378,0.733,0,0.191,0.875,122.102
1961,I Like It Like That,Chris Kenner,5wIxMTfyrSEx4w1MxaM96c,0.589,0.568,0.0806,0.832,0,0.272,0.777,144.566
1961,Apache,Jørgen Ingmann,3dCiA0Feu0K8FQloQ6eWJ9,0.663,0.359,0.0339,0.954,0.939,0.122,0.309,127.839
1961,Don't Bet Money Honey,Linda Scott,55OIOcgAeAfTXWRtqCVCSF,0.305,0.457,0.0326,0.829,0,0.176,0.607,201.2
1961,Without You,Johnny Tillotson,7miCwaATScCqV6bjcH2MTZ,0.55,0.489,0.0256,0.367,0.541,0.0813,0.706,98.081
1961,Wings of a Dove,Ferlin Husky,31vF1iGX0S3Dtv0rQfEksJ,0.5,0.319,0.039,0.497,0,0.101,0.646,177.489
1961,Little Sister,Elvis Presley,4iEuVk3bKkZcu8vcv7gR4I,0.6,0.622,0.0751,0.432,0,0.223,0.924,139.501
1961,Blue Moon,The Marcels,42ojLX3UYsp4XhaX0sx29E,0.624,0.432,0.0344,0.656,0,0.0785,0.935,127.69
1961,Daddy's Home,Shep And The Limelites,4Vj8J4iRkzjTsRLbwSOS4v,0.482,0.254,0.0312,0.922,1.54e-05,0.134,0.337,145.539
1961,This Time,Troy Shondell,4dfn4XrQIUAgUU96Ag1Ref,0.453,0.299,0.0299,0.712,0,0.287,0.341,81.169
1961,(I Don't Know Why) But I Do,Clarence "Frogman" Henry,6ZGHYnE20Voe1qtCByhjyW,0.667,0.535,0.0277,0.603,0,0.122,0.825,109.686
1961,Asia Minor - Rerecorded,Kokomo,4uNAdFLTuiIhDtbZsq31Og,0.459,0.534,0.0305,0.665,0.825,0.18,0.931,202.954
1961,Hello Walls,Faron Young,4dim8F8t01qimHOmr6S3Gd,0.62,0.406,0.0281,0.722,6.73e-06,0.114,0.695,101.489
1961,Runaround Sue,Dion,0kY5UKJr6HJHYL8bFuam9s,0.469,0.6,0.0783,0.321,0,0.0596,0.653,158.348
1961,Yellow Bird,Arthur Lyman,3KOC0porpfAeFFYuA4d73z,0.561,0.0335,0.0513,0.954,0.86,0.0949,0.703,119.319
1961,Hurt,Timi Yuro,6mqfq8EdYoV07TXM2rgPgb,0.493,0.244,0.0277,0.707,0.000462,0.121,0.222,87.044
1961,Hello Mary Lou (Goodbye Heart),Ricky Nelson,0IMS1Za69G3KHMX4liB2Nr,0.559,0.78,0.0328,0.158,6.89e-06,0.0793,0.964,98.661
1961,There's a Moon Out Tonight,The Capris,0H0ahZpih9KvOvECJbS5re,0.325,0.382,0.0387,0.896,0,0.387,0.619,201.924
1961,Surrender,Elvis Presley,4CLKOf0qczUKV4FzLYICra,0.348,0.615,0.0421,0.718,1.64e-05,0.173,0.842,164.502
1961,I Love How You Love Me,The Paris Sisters,4UEWbycxYnl9KkrCl9nXwH,0.384,0.452,0.0281,0.944,0.00125,0.224,0.453,84.857
1961,Ya Ya,Lee Dorsey,2pMwweGkjNLXZkSDZ63LYf,0.758,0.557,0.0453,0.607,0.000218,0.193,0.887,140.795
1961,School Is Out,Gary U.S. Bonds,5zrvcHnDnuYqB3AJiONidX,0.549,0.774,0.0686,0.95,0.000166,0.389,0.965,73.704
1961,Mexico,Bob Moore & His Orchestra,5fe0Xf7D7NnNFwmDC58pMY,0.494,0.512,0.0305,0.757,0.86,0.24,0.954,86.042
1961,You Don't Know What You've Got (Until You Lose It),Ral Donner,6C7EWAm6xBMd9edxG5HrXY,0.665,0.223,0.046,0.951,0,0.115,0.561,130.664
1961,Walk Right Back,The Everly Brothers,3NUXLtK8UGdD8TvZ12b4dD,0.624,0.358,0.0342,0.752,0,0.0593,0.871,135.797
1961,The Way You Look Tonight - Remastered,The Lettermen,0sNSv56Glvgu2iJfoeAmS5,0.251,0.146,0.0313,0.931,0,0.0867,0.14,102.407
1961,Moody River,Pat Boone,3JhwxN5fPtpWh8O4qCBjYO,0.616,0.728,0.0312,0.581,4.73e-05,0.102,0.685,139.428
1961,One Mint Julep,Ray Charles,4pYXE7xVgMiE4xT3aDw3s8,0.799,0.522,0.284,0.616,0.87,0.0587,0.901,129.284
1961,Take Good Care Of Her,Adam Wade,0dkvF7yZgRyvdiGYNKxvy7,0.258,0.24,0.0325,0.779,0,0.355,0.371,83.202
1961,Gee Whiz (Look At His Eyes),Carla Thomas,2NuUIi4eRCXNH9kuDgfIml,0.432,0.452,0.0437,0.899,0.0307,0.688,0.436,82.518
1961,Stand by Me,Ben E. King,3SdTKo2uVsxFblQjpScoHy,0.65,0.306,0.0393,0.57,7.07e-06,0.0707,0.605,118.068
1961,Spanish Harlem,Ben E. King,3UCmuRdeTriWgOZMEJsfqZ,0.608,0.594,0.0435,0.32,4.75e-05,0.129,0.789,125.166
1961,It's Gonna Work Out Fine,Ike & Tina Turner,4xuFxRyYWgz8P1COIPNg6f,0.46,0.433,0.0522,0.0625,2.12e-05,0.625,0.786,106.9
1961,It's All Over Now Baby Blue - Live 1985,Echo & the Bunnymen,0bgDNv6AKX5CnUKyd5EAIG,0.493,0.907,0.0418,0.0157,0.00724,0.414,0.275,128.359
1961,Baby Sittin' Boogie,Buzz Clifford,3tN1wL9xUWnBojP54Rn3H4,0.468,0.664,0.109,0.785,0,0.207,0.813,140.161
1961,Hats Off To Larry,Del Shannon,0Ix8XzojhphhgkaWelHfhK,0.417,0.698,0.0333,0.685,1.75e-06,0.328,0.72,80.568
1961,Those Oldies but Goodies (Remind Me of You),Little Caesar & the Romans,0JOerxmcpa7EUxV0yn2ir0,0.484,0.31,0.027,0.842,0,0.602,0.739,97.695
